N bc_time wc_time
10 0.000001 0.000000
20 0.000000 0.000001
30 0.000000 0.000001
40 0.000000 0.000000
50 0.000000 0.000002
60 0.000001 0.000002
70 0.000000 0.000003
80 0.000000 0.000006
90 0.000000 0.000007
100 0.000001 0.000009
110 0.000000 0.000008
120 0.000001 0.000009
130 0.000000 0.000014
140 0.000001 0.000012
150 0.000000 0.000014
160 0.000000 0.000015
170 0.000000 0.000017
180 0.000000 0.000018
190 0.000000 0.000020
200 0.000001 0.000023
210 0.000001 0.000026
220 0.000000 0.000037
230 0.000000 0.000031
240 0.000000 0.000039
250 0.000000 0.000037
260 0.000000 0.000040
270 0.000000 0.000044
280 0.000000 0.000056
290 0.000000 0.000051
300 0.000001 0.000066
310 0.000000 0.000059
320 0.000001 0.000062
330 0.000001 0.000067
340 0.000000 0.000080
350 0.000000 0.000108
360 0.000000 0.000081
370 0.000000 0.000085
380 0.000000 0.000090
390 0.000000 0.000094
400 0.000001 0.000101
410 0.000000 0.000105
420 0.000001 0.000111
430 0.000001 0.000115
440 0.000000 0.000122
450 0.000000 0.000132
460 0.000000 0.000133
470 0.000001 0.000140
480 0.000000 0.000146
490 0.000001 0.000152
500 0.000000 0.000159
510 0.000000 0.000169
520 0.000000 0.000171
530 0.000000 0.000179
540 0.000000 0.000191
550 0.000001 0.000218
560 0.000000 0.000234
570 0.000001 0.000237
580 0.000000 0.000244
590 0.000001 0.000258
600 0.000001 0.000263
610 0.000000 0.000271
620 0.000001 0.000279
630 0.000000 0.000289
640 0.000001 0.000302
650 0.000000 0.000308
660 0.000000 0.000336
670 0.000001 0.000330
680 0.000001 0.000347
690 0.000000 0.000349
700 0.000001 0.000369
710 0.000000 0.000369
720 0.000001 0.000381
730 0.000000 0.000407
740 0.000001 0.000402
750 0.000000 0.000421
760 0.000000 0.000426
770 0.000000 0.000441
780 0.000000 0.000447
790 0.000001 0.000460
800 0.000000 0.000483
810 0.000001 0.000475
820 0.000000 0.000500
830 0.000000 0.000509
840 0.000001 0.000524
850 0.000000 0.000540
860 0.000000 0.000560
870 0.000000 0.000572
880 0.000000 0.000590
890 0.000000 0.000625
900 0.000000 0.000605
910 0.000000 0.000624
920 0.000001 0.000637
930 0.000001 0.000648
940 0.000000 0.000681
950 0.000001 0.000679
960 0.000001 0.000690
970 0.000000 0.000709
980 0.000001 0.000723
990 0.000000 0.000739
1000 0.000001 0.000752
1010 0.000001 0.000769
1020 0.000001 0.000784
1030 0.000001 0.000800
1040 0.000001 0.000818
1050 0.000001 0.000828
1060 0.000001 0.000847
1070 0.000000 0.000875
1080 0.000001 0.000859
1090 0.000001 0.000901
1100 0.000000 0.000890
1110 0.000001 0.000918
1120 0.000001 0.000938
1130 0.000001 0.000941
1140 0.000000 0.000956
1150 0.000000 0.000976
1160 0.000000 0.000993
1170 0.000001 0.001011
1180 0.000001 0.001034
1190 0.000001 0.001048
1200 0.000000 0.001066
1210 0.000000 0.001099
1220 0.000000 0.001112
1230 0.000000 0.001136
1240 0.000001 0.001139
1250 0.000001 0.001171
1260 0.000001 0.001177
1270 0.000001 0.001218
1280 0.000001 0.001219
1290 0.000001 0.001245
1300 0.000000 0.001257
1310 0.000001 0.001297
1320 0.000001 0.001294
1330 0.000000 0.001316
1340 0.000001 0.001340
1350 0.000000 0.001357
1360 0.000001 0.001376
1370 0.000001 0.001401
1380 0.000001 0.001435
1390 0.000001 0.001461
1400 0.000001 0.001497
1410 0.000001 0.001487
1420 0.000001 0.001521
1430 0.000001 0.001527
1440 0.000001 0.001561
1450 0.000001 0.001571
1460 0.000001 0.001590
1470 0.000001 0.001622
1480 0.000001 0.001683
1490 0.000001 0.001669
1500 0.000001 0.001743
1510 0.000001 0.001706
1520 0.000001 0.001728
1530 0.000001 0.001747
1540 0.000001 0.001819
1550 0.000001 0.001798
1560 0.000000 0.001827
1570 0.000001 0.001845
1580 0.000001 0.001881
1590 0.000001 0.001930
1600 0.000001 0.001917
1610 0.000001 0.001962
1620 0.000001 0.001963
1630 0.000001 0.002000
1640 0.000001 0.002017
1650 0.000001 0.002045
1660 0.000001 0.002071
1670 0.000001 0.002125
1680 0.000001 0.002136
1690 0.000001 0.002154
1700 0.000001 0.002181
1710 0.000001 0.002200
1720 0.000001 0.002222
1730 0.000001 0.002245
1740 0.000001 0.002284
1750 0.000001 0.002327
1760 0.000001 0.002327
1770 0.000001 0.002376
1780 0.000000 0.002387
1790 0.000001 0.002405
1800 0.000001 0.002439
1810 0.000001 0.002472
1820 0.000001 0.002540
1830 0.000001 0.002532
1840 0.000001 0.002553
1850 0.000001 0.002571
1860 0.000001 0.002601
1870 0.000001 0.002636
1880 0.000001 0.002697
1890 0.000001 0.002696
1900 0.000001 0.002723
1910 0.000001 0.002746
1920 0.000001 0.002806
1930 0.000001 0.002815
1940 0.000001 0.002879
1950 0.000001 0.002862
1960 0.000001 0.002902
1970 0.000001 0.002935
1980 0.000001 0.002954
1990 0.000001 0.003005
2000 0.000001 0.003050
2010 0.000001 0.003077
2020 0.000001 0.003071
2030 0.000001 0.003111
2040 0.000001 0.003148
2050 0.000001 0.003211
2060 0.000001 0.003194
2070 0.000001 0.003238
2080 0.000001 0.003282
2090 0.000001 0.003302
2100 0.000001 0.003322
2110 0.000001 0.003350
2120 0.000001 0.003373
2130 0.000002 0.003386
2140 0.000001 0.003424
2150 0.000002 0.003454
2160 0.000002 0.003504
2170 0.000001 0.003517
2180 0.000001 0.003562
2190 0.000002 0.003597
2200 0.000002 0.003628
2210 0.000001 0.003651
2220 0.000001 0.003700
2230 0.000001 0.003735
2240 0.000001 0.003751
2250 0.000001 0.003823
2260 0.000001 0.003818
2270 0.000002 0.003870
2280 0.000002 0.003888
2290 0.000001 0.003952
2300 0.000001 0.003972
2310 0.000001 0.004038
2320 0.000001 0.004035
2330 0.000001 0.004138
2340 0.000001 0.004130
2350 0.000001 0.004155
2360 0.000002 0.004171
2370 0.000001 0.004252
2380 0.000002 0.004248
2390 0.000002 0.004305
2400 0.000001 0.004335
2410 0.000001 0.004361
