N  Time  average_ob  max_ob  min_ob 
10 0.000000 41.000000 45 17 
20 0.000001 180.000000 190 124 
30 0.000002 419.000000 435 299 
40 0.000002 756.000000 780 570 
50 0.000002 1194.000000 1225 874 
60 0.000003 1730.000000 1770 1419 
70 0.000004 2367.000000 2415 1980 
80 0.000005 3104.000000 3160 2664 
90 0.000006 3940.000000 4005 3444 
100 0.000007 4877.000000 4950 4320 
110 0.000009 5914.000000 5995 5254 
120 0.000010 7051.000000 7140 6320 
130 0.000011 8287.000000 8385 7524 
140 0.000013 9622.000000 9730 8784 
150 0.000015 11061.000000 11175 10094 
160 0.000016 12598.000000 12720 11495 
170 0.000018 14233.000000 14365 13237 
180 0.000020 15967.000000 16110 14885 
190 0.000021 17802.000000 17955 16629 
200 0.000023 19743.000000 19900 18469 
210 0.000025 21779.000000 21945 20175 
220 0.000027 23911.000000 24090 21945 
230 0.000030 26152.000000 26335 24739 
240 0.000031 28483.000000 28680 26469 
250 0.000034 30922.000000 31125 29172 
260 0.000036 33458.000000 33670 32017 
270 0.000038 36092.000000 36315 33969 
280 0.000041 38830.000000 39060 36504 
290 0.000043 41664.000000 41905 39490 
300 0.000046 44600.000000 44850 42639 
310 0.000048 47635.000000 47895 44814 
320 0.000051 50772.000000 51040 48625 
330 0.000055 54008.000000 54285 51584 
340 0.000058 57340.000000 57630 54855 
350 0.000060 60781.000000 61075 57835 
360 0.000063 64314.000000 64620 61460 
370 0.000066 67951.000000 68265 65415 
380 0.000070 71690.000000 72010 69235 
390 0.000074 75529.000000 75855 72852 
400 0.000078 79455.000000 79800 76950 
410 0.000080 83492.000000 83845 80919 
420 0.000096 87626.000000 87990 84335 
430 0.000098 91860.000000 92235 88319 
440 0.000090 96201.000000 96580 92394 
450 0.000094 100637.000000 101025 97865 
460 0.000097 105177.000000 105570 101915 
470 0.000112 109809.000000 110215 106029 
480 0.000108 114540.000000 114960 110495 
490 0.000117 119375.000000 119805 115527 
500 0.000119 124316.000000 124750 120922 
510 0.000118 129351.000000 129795 125700 
520 0.000123 134487.000000 134940 130845 
530 0.000126 139724.000000 140185 135432 
540 0.000130 145057.000000 145530 141252 
550 0.000136 150493.000000 150975 146222 
560 0.000139 156031.000000 156520 151669 
570 0.000144 161670.000000 162165 157314 
580 0.000146 167395.000000 167910 163059 
590 0.000151 173253.000000 173755 168190 
600 0.000155 179168.000000 179700 174947 
610 0.000161 185207.000000 185745 180492 
620 0.000167 191346.000000 191890 186534 
630 0.000173 197578.000000 198135 192882 
640 0.000176 203928.000000 204480 199727 
650 0.000186 210345.000000 210925 206460 
660 0.000191 216882.000000 217470 211365 
670 0.000198 223521.000000 224115 218550 
680 0.000198 230253.000000 230860 224865 
690 0.000203 237085.000000 237705 231710 
700 0.000213 244030.000000 244650 239700 
710 0.000214 251066.000000 251695 245479 
720 0.000226 258200.000000 258840 253275 
730 0.000230 265434.000000 266085 260520 
740 0.000235 272762.000000 273430 266875 
750 0.000239 280212.000000 280875 274659 
760 0.000251 287740.000000 288420 281280 
770 0.000252 295373.000000 296065 289849 
780 0.000261 303119.000000 303810 297482 
790 0.000265 310950.000000 311655 305660 
800 0.000269 318882.000000 319600 308869 
810 0.000276 326919.000000 327645 322185 
820 0.000289 335070.000000 335790 328650 
830 0.000295 343285.000000 344035 337132 
840 0.000296 351629.000000 352380 345477 
850 0.000304 360065.000000 360825 354039 
860 0.000314 368584.000000 369370 361620 
870 0.000322 377243.000000 378015 371229 
880 0.000324 385969.000000 386760 379739 
890 0.000334 394786.000000 395605 388819 
900 0.000342 403740.000000 404550 397764 
910 0.000347 412767.000000 413595 404684 
920 0.000359 421920.000000 422740 414990 
930 0.000365 431139.000000 431985 422805 
940 0.000373 440466.000000 441330 431319 
950 0.000382 449906.000000 450775 439299 
960 0.000391 459455.000000 460320 451409 
970 0.000397 469076.000000 469965 460920 
980 0.000399 478833.000000 479710 472207 
990 0.000407 488664.000000 489555 481929 
1000 0.000416 498603.000000 499500 491997 
