N  Time  average_ob  max_ob  min_ob 
10 0.000000 41.000000 45 35 
20 0.000001 181.000000 190 145 
30 0.000001 421.000000 435 399 
40 0.000002 754.000000 780 660 
50 0.000003 1192.000000 1222 1054 
60 0.000003 1721.000000 1767 1494 
70 0.000004 2375.000000 2414 2279 
80 0.000005 3107.000000 3160 2970 
90 0.000006 3957.000000 4005 3869 
100 0.000007 4889.000000 4944 4740 
110 0.000010 5915.000000 5992 5805 
120 0.000011 7089.000000 7139 7004 
130 0.000013 8224.000000 8375 8034 
140 0.000013 9586.000000 9709 9234 
150 0.000015 11089.000000 11172 10850 
160 0.000018 12586.000000 12717 12192 
170 0.000019 14195.000000 14364 13869 
180 0.000021 15923.000000 16089 15704 
190 0.000022 17745.000000 17940 17427 
200 0.000026 19824.000000 19897 19710 
210 0.000028 21763.000000 21939 21315 
220 0.000030 23949.000000 24075 23655 
230 0.000031 26210.000000 26334 25740 
240 0.000035 28567.000000 28674 28329 
250 0.000037 30919.000000 31104 30530 
260 0.000041 33510.000000 33655 33345 
270 0.000043 36006.000000 36287 35454 
280 0.000044 38835.000000 39057 38430 
290 0.000046 41687.000000 41860 41239 
300 0.000048 44662.000000 44850 44354 
310 0.000053 47643.000000 47880 47229 
320 0.000056 50870.000000 51030 50634 
330 0.000057 54101.000000 54264 53757 
340 0.000063 57270.000000 57627 56549 
350 0.000066 60634.000000 61009 59535 
360 0.000068 64228.000000 64592 63492 
370 0.000070 68121.000000 68259 67859 
380 0.000075 71725.000000 72004 71307 
390 0.000077 75417.000000 75819 74315 
400 0.000080 79602.000000 79794 78719 
410 0.000087 83565.000000 83845 83179 
420 0.000090 87665.000000 87975 87000 
430 0.000092 91459.000000 92229 88580 
440 0.000096 96291.000000 96535 95499 
450 0.000099 100723.000000 100997 99897 
460 0.000105 105201.000000 105564 103292 
470 0.000106 109895.000000 110214 109435 
480 0.000113 114705.000000 114915 113925 
490 0.000115 119266.000000 119802 118479 
500 0.000117 124059.000000 124747 121009 
510 0.000126 129069.000000 129789 127310 
520 0.000131 134487.000000 134940 133562 
530 0.000134 139594.000000 140149 138040 
540 0.000141 145145.000000 145475 144495 
550 0.000143 150634.000000 150920 149750 
560 0.000147 156152.000000 156517 154309 
570 0.000152 161678.000000 162087 161084 
580 0.000158 167502.000000 167909 166685 
590 0.000161 173294.000000 173755 172324 
600 0.000169 179172.000000 179699 178710 
610 0.000175 184903.000000 185735 183792 
620 0.000177 191029.000000 191835 189874 
630 0.000182 197436.000000 198080 196244 
640 0.000188 204013.000000 204470 203304 
650 0.000193 210375.000000 210880 209935 
660 0.000196 217187.000000 217425 216195 
670 0.000204 223321.000000 224112 221189 
680 0.000212 230472.000000 230755 230119 
690 0.000217 237310.000000 237699 236670 
700 0.000226 244195.000000 244650 243522 
710 0.000227 251236.000000 251629 249679 
720 0.000238 258330.000000 258812 256629 
730 0.000240 265818.000000 266075 265419 
740 0.000250 273063.000000 273424 272395 
750 0.000254 280160.000000 280739 277715 
760 0.000261 287427.000000 288410 285017 
770 0.000262 294755.000000 296037 291214 
780 0.000270 303398.000000 303782 302634 
790 0.000276 310951.000000 311589 309309 
800 0.000287 319081.000000 319599 318060 
810 0.000294 326888.000000 327639 325017 
820 0.000301 335043.000000 335787 333960 
830 0.000305 343129.000000 344029 341185 
840 0.000312 351846.000000 352377 350840 
850 0.000321 359868.000000 360810 358614 
860 0.000324 368655.000000 369325 367290 
870 0.000330 377225.000000 377979 375870 
880 0.000341 386029.000000 386754 384275 
890 0.000347 395058.000000 395584 393894 
900 0.000354 404006.000000 404472 403325 
910 0.000362 413222.000000 413550 412110 
920 0.000369 421583.000000 422739 419500 
930 0.000382 431214.000000 431930 429059 
940 0.000384 440531.000000 441302 439314 
950 0.000392 450138.000000 450754 447535 
960 0.000397 458863.000000 459914 455469 
970 0.000411 469304.000000 469755 468740 
980 0.000418 479013.000000 479689 477630 
990 0.000425 488553.000000 489477 486854 
1000 0.000432 498468.000000 499422 496260 
1010 0.000438 508601.000000 509530 505450 
1020 0.000447 519013.000000 519684 517737 
1030 0.000452 528871.000000 529844 524885 
1040 0.000463 539585.000000 540144 538627 
1050 0.000477 549952.000000 550704 548169 
1060 0.000479 560703.000000 561260 559944 
1070 0.000492 571246.000000 571779 570375 
1080 0.000501 581527.000000 582657 579657 
1090 0.000510 591742.000000 593274 589677 
1100 0.000518 603684.000000 604429 603072 
1110 0.000528 614395.000000 615117 613080 
1120 0.000535 625308.000000 626504 621789 
1130 0.000544 636443.000000 637840 633969 
1140 0.000555 648120.000000 649220 643125 
1150 0.000563 659814.000000 660672 657515 
1160 0.000572 671348.000000 672049 669942 
1170 0.000580 682916.000000 683787 680462 
1180 0.000589 694898.000000 695565 693657 
1190 0.000601 706157.000000 707104 702990 
1200 0.000613 718238.000000 719210 716625 
1210 0.000621 730994.000000 731367 730542 
1220 0.000628 742367.000000 743589 740020 
1230 0.000638 754432.000000 755757 752754 
1240 0.000647 767094.000000 768027 764859 
1250 0.000664 780087.000000 780604 778795 
1260 0.000669 792796.000000 793164 791994 
1270 0.000685 804801.000000 805794 802655 
1280 0.000694 817586.000000 818494 815634 
1290 0.000700 830402.000000 831339 828165 
1300 0.000708 842793.000000 844119 840434 
1310 0.000721 856548.000000 857367 854620 
1320 0.000731 869139.000000 870462 866712 
1330 0.000752 882557.000000 883649 880782 
1340 0.000755 896138.000000 897130 893560 
1350 0.000765 908967.000000 910484 906297 
1360 0.000780 923230.000000 924110 922409 
1370 0.000785 936645.000000 937729 935812 
