N bc_time wc_time
10 0.000000 0.000000
20 0.000000 0.000000
30 0.000000 0.000000
40 0.000001 0.000001
50 0.000001 0.000001
60 0.000001 0.000001
70 0.000002 0.000002
80 0.000002 0.000002
90 0.000002 0.000003
100 0.000002 0.000003
110 0.000003 0.000004
120 0.000003 0.000004
130 0.000003 0.000005
140 0.000004 0.000006
150 0.000004 0.000007
160 0.000005 0.000008
170 0.000006 0.000009
180 0.000007 0.000009
190 0.000007 0.000010
200 0.000008 0.000012
210 0.000008 0.000012
220 0.000011 0.000013
230 0.000008 0.000014
240 0.000008 0.000014
250 0.000010 0.000018
260 0.000011 0.000016
270 0.000010 0.000018
280 0.000011 0.000019
290 0.000012 0.000022
300 0.000013 0.000022
310 0.000016 0.000022
320 0.000017 0.000024
330 0.000017 0.000025
340 0.000018 0.000027
350 0.000019 0.000028
360 0.000021 0.000031
370 0.000022 0.000031
380 0.000023 0.000034
390 0.000024 0.000034
400 0.000025 0.000036
410 0.000025 0.000038
420 0.000026 0.000036
430 0.000024 0.000038
440 0.000024 0.000039
450 0.000025 0.000041
460 0.000025 0.000044
470 0.000026 0.000046
480 0.000029 0.000047
490 0.000028 0.000049
500 0.000028 0.000052
510 0.000028 0.000053
520 0.000030 0.000064
530 0.000131 0.000071
540 0.000065 0.000102
550 0.000092 0.000094
560 0.000093 0.000080
570 0.000087 0.000079
580 0.000080 0.000086
590 0.000089 0.000086
600 0.000088 0.000082
610 0.000042 0.000152
620 0.000067 0.000060
630 0.000038 0.000061
640 0.000039 0.000068
650 0.000040 0.000112
660 0.000169 0.000115
670 0.000101 0.000062
680 0.000042 0.000065
690 0.000043 0.000064
700 0.000041 0.000062
710 0.000044 0.000066
720 0.000050 0.000067
730 0.000045 0.000068
740 0.000049 0.000068
750 0.000048 0.000069
760 0.000049 0.000071
770 0.000051 0.000083
780 0.000061 0.000075
790 0.000052 0.000076
800 0.000052 0.000079
810 0.000054 0.000082
820 0.000054 0.000082
830 0.000054 0.000084
840 0.000055 0.000089
850 0.000066 0.000096
860 0.000062 0.000092
870 0.000057 0.000094
880 0.000057 0.000096
890 0.000061 0.000099
900 0.000059 0.000100
910 0.000059 0.000104
920 0.000063 0.000104
930 0.000061 0.000106
940 0.000061 0.000109
950 0.000062 0.000116
960 0.000065 0.000114
970 0.000063 0.000116
980 0.000064 0.000122
990 0.000065 0.000120
1000 0.000066 0.000123
1010 0.000070 0.000125
1020 0.000067 0.000135
1030 0.000070 0.000131
1040 0.000074 0.000133
1050 0.000076 0.000139
1060 0.000076 0.000140
1070 0.000076 0.000140
1080 0.000084 0.000171
1090 0.000083 0.000159
1100 0.000083 0.000164
1110 0.000088 0.000158
1120 0.000086 0.000153
1130 0.000091 0.000158
1140 0.000090 0.000158
1150 0.000094 0.000161
1160 0.000095 0.000163
1170 0.000101 0.000164
1180 0.000101 0.000169
1190 0.000104 0.000169
1200 0.000104 0.000172
1210 0.000109 0.000175
1220 0.000108 0.000179
1230 0.000114 0.000181
1240 0.000113 0.000186
1250 0.000116 0.000188
1260 0.000118 0.000193
1270 0.000121 0.000192
1280 0.000126 0.000195
1290 0.000125 0.000198
1300 0.000131 0.000201
1310 0.000130 0.000206
1320 0.000132 0.000207
1330 0.000137 0.000210
1340 0.000138 0.000217
1350 0.000140 0.000217
1360 0.000145 0.000219
1370 0.000145 0.000227
1380 0.000148 0.000232
1390 0.000154 0.000237
1400 0.000163 0.000234
1410 0.000157 0.000238
1420 0.000161 0.000239
1430 0.000165 0.000244
1440 0.000166 0.000246
1450 0.000167 0.000251
1460 0.000171 0.000258
1470 0.000172 0.000257
1480 0.000179 0.000259
1490 0.000182 0.000263
1500 0.000181 0.000270
1510 0.000184 0.000273
1520 0.000187 0.000277
1530 0.000189 0.000277
1540 0.000193 0.000281
1550 0.000195 0.000283
1560 0.000195 0.000287
1570 0.000198 0.000289
1580 0.000195 0.000297
1590 0.000197 0.000303
1600 0.000199 0.000305
1610 0.000199 0.000308
1620 0.000205 0.000315
1630 0.000204 0.000325
1640 0.000208 0.000319
1650 0.000204 0.000325
1660 0.000206 0.000327
1670 0.000207 0.000329
1680 0.000208 0.000336
1690 0.000210 0.000339
1700 0.000210 0.000343
1710 0.000213 0.000347
1720 0.000214 0.000349
1730 0.000216 0.000353
1740 0.000217 0.000359
1750 0.000220 0.000362
1760 0.000222 0.000362
1770 0.000223 0.000374
1780 0.000222 0.000375
1790 0.000222 0.000379
1800 0.000223 0.000388
1810 0.000224 0.000387
1820 0.000225 0.000389
1830 0.000229 0.000393
1840 0.000230 0.000396
1850 0.000230 0.000406
1860 0.000230 0.000407
1870 0.000233 0.000412
1880 0.000235 0.000413
1890 0.000238 0.000420
1900 0.000235 0.000425
1910 0.000236 0.000428
1920 0.000237 0.000437
1930 0.000241 0.000439
1940 0.000242 0.000443
1950 0.000242 0.000446
1960 0.000253 0.000449
1970 0.000247 0.000456
1980 0.000247 0.000460
1990 0.000248 0.000464
2000 0.000250 0.000469
2010 0.000250 0.000476
2020 0.000252 0.000479
2030 0.000256 0.000490
2040 0.000253 0.000492
2050 0.000257 0.000493
2060 0.000261 0.000498
2070 0.000266 0.000503
2080 0.000268 0.000506
2090 0.000273 0.000514
2100 0.000280 0.000525
2110 0.000287 0.000524
2120 0.000282 0.000533
2130 0.000287 0.000534
2140 0.000305 0.000545
2150 0.000298 0.000546
2160 0.000299 0.000549
2170 0.000303 0.000554
2180 0.000313 0.000558
2190 0.000314 0.000568
2200 0.000315 0.000565
2210 0.000322 0.000571
2220 0.000322 0.000577
2230 0.000331 0.000585
2240 0.000331 0.000588
2250 0.000340 0.000592
2260 0.000341 0.000604
2270 0.000348 0.000602
2280 0.000351 0.000609
2290 0.000355 0.000611
2300 0.000357 0.000619
2310 0.000363 0.000623
2320 0.000367 0.000628
2330 0.000371 0.000643
2340 0.000377 0.000639
2350 0.000383 0.000642
2360 0.000384 0.000651
2370 0.000391 0.000656
2380 0.000394 0.000661
2390 0.000398 0.000667
2400 0.000402 0.000674
2410 0.000406 0.000681
2420 0.000412 0.000683
2430 0.000418 0.000687
2440 0.000430 0.000700
2450 0.000432 0.000706
2460 0.000438 0.000711
2470 0.000435 0.000721
2480 0.000440 0.000727
2490 0.000451 0.000733
2500 0.000451 0.000737
2510 0.000456 0.000733
2520 0.000463 0.000741
2530 0.000465 0.000745
2540 0.000471 0.000756
2550 0.000475 0.000763
2560 0.000480 0.000766
2570 0.000491 0.000767
2580 0.000489 0.000775
2590 0.000498 0.000788
2600 0.000499 0.000793
2610 0.000514 0.000806
2620 0.000515 0.000803
2630 0.000523 0.000809
2640 0.000521 0.000815
2650 0.000528 0.000820
2660 0.000536 0.000832
2670 0.000536 0.000828
2680 0.000540 0.000839
2690 0.000549 0.000844
2700 0.000556 0.000851
2710 0.000560 0.000857
2720 0.000565 0.000862
2730 0.000569 0.000873
2740 0.000574 0.000873
2750 0.000579 0.000886
2760 0.000588 0.000891
2770 0.000589 0.000899
2780 0.000597 0.000904
2790 0.000603 0.000906
2800 0.000607 0.000911
2810 0.000613 0.001007
2820 0.000602 0.000938
2830 0.000621 0.000936
2840 0.000634 0.000945
2850 0.000642 0.000952
2860 0.000648 0.000953
2870 0.000663 0.000967
2880 0.000662 0.000970
2890 0.000670 0.000977
2900 0.000674 0.000991
2910 0.000690 0.000997
2920 0.000694 0.001004
2930 0.000696 0.001009
2940 0.000702 0.001013
2950 0.000710 0.001023
2960 0.000717 0.001031
2970 0.000724 0.001032
2980 0.000731 0.001037
2990 0.000739 0.001048
3000 0.000745 0.001054
3010 0.000748 0.001059
3020 0.000757 0.001070
3030 0.000764 0.001079
3040 0.000766 0.001081
3050 0.000773 0.001086
3060 0.000780 0.001096
3070 0.000784 0.001103
3080 0.000787 0.001108
3090 0.000791 0.001117
3100 0.000797 0.001126
3110 0.000793 0.001131
3120 0.000796 0.001145
3130 0.000796 0.001143
3140 0.000805 0.001167
3150 0.000808 0.001165
3160 0.000808 0.001171
3170 0.000811 0.001176
3180 0.000814 0.001181
3190 0.000814 0.001196
3200 0.000820 0.001214
3210 0.000832 0.001208
3220 0.000830 0.001214
3230 0.000829 0.001221
3240 0.000827 0.001228
3250 0.000832 0.001254
3260 0.000835 0.001237
3270 0.000840 0.001250
3280 0.000867 0.001253
3290 0.000847 0.001260
3300 0.000853 0.001272
3310 0.000850 0.001276
3320 0.000852 0.001285
3330 0.000853 0.001289
3340 0.000855 0.001315
3350 0.000865 0.001309
3360 0.000863 0.001313
3370 0.000864 0.001327
3380 0.000887 0.001336
3390 0.000868 0.001356
3400 0.000870 0.001348
3410 0.000876 0.001352
3420 0.000874 0.001375
3430 0.000877 0.001371
3440 0.000882 0.001380
3450 0.000889 0.001387
3460 0.000886 0.001398
3470 0.000889 0.001406
3480 0.000897 0.001409
3490 0.000896 0.001435
3500 0.000848 0.001426
3510 0.000865 0.001434
3520 0.000876 0.001445
3530 0.000878 0.001454
3540 0.000884 0.001453
3550 0.000887 0.001463
3560 0.000886 0.001473
3570 0.000892 0.001481
3580 0.000894 0.001491
3590 0.000901 0.001500
3600 0.000901 0.001504
3610 0.000907 0.001513
3620 0.000906 0.001527
3630 0.000911 0.001527
3640 0.000911 0.001538
3650 0.000928 0.001549
3660 0.000919 0.001555
3670 0.000919 0.001563
3680 0.000928 0.001575
3690 0.000928 0.001580
3700 0.000929 0.001588
3710 0.000935 0.001599
3720 0.000936 0.001607
3730 0.000935 0.001612
3740 0.000938 0.001620
3750 0.000943 0.001631
3760 0.000945 0.001636
3770 0.000948 0.001645
3780 0.000952 0.001657
3790 0.000954 0.001663
3800 0.000955 0.001676
3810 0.000957 0.001684
3820 0.000956 0.001711
3830 0.000951 0.001705
3840 0.000967 0.001714
3850 0.000971 0.001721
3860 0.000975 0.001726
3870 0.000974 0.001732
3880 0.000980 0.001742
3890 0.000982 0.001754
3900 0.000983 0.001763
3910 0.000989 0.001781
3920 0.000989 0.001781
3930 0.000989 0.001793
3940 0.000996 0.001801
3950 0.000999 0.001810
3960 0.001001 0.001827
3970 0.001004 0.001836
3980 0.001012 0.001834
3990 0.001011 0.001855
4000 0.001014 0.001861
4010 0.001017 0.001865
4020 0.001016 0.001879
4030 0.001020 0.001885
4040 0.001020 0.001893
4050 0.001029 0.001898
4060 0.001027 0.001909
4070 0.001028 0.001913
4080 0.001037 0.001924
4090 0.001037 0.001937
4100 0.001040 0.001942
4110 0.001048 0.001956
4120 0.001057 0.001974
4130 0.001063 0.001976
4140 0.001070 0.001995
4150 0.001080 0.001999
4160 0.001088 0.002001
4170 0.001097 0.002017
4180 0.001105 0.002029
4190 0.001113 0.002037
4200 0.001123 0.002048
4210 0.001112 0.002053
4220 0.001115 0.002079
4230 0.001134 0.002092
4240 0.001145 0.002084
4250 0.001154 0.002104
4260 0.001163 0.002103
4270 0.001168 0.002116
4280 0.001179 0.002128
4290 0.001187 0.002128
4300 0.001196 0.002165
4310 0.001224 0.002150
4320 0.001228 0.002165
4330 0.001223 0.002177
4340 0.001242 0.002182
4350 0.001239 0.002190
4360 0.001256 0.002198
4370 0.001261 0.002209
4380 0.001269 0.002231
4390 0.001274 0.002238
4400 0.001291 0.002250
4410 0.001291 0.002256
4420 0.001301 0.002261
4430 0.001316 0.002268
4440 0.001319 0.002279
4450 0.001326 0.002288
4460 0.001341 0.002308
4470 0.001347 0.002314
4480 0.001358 0.002326
4490 0.001364 0.002332
4500 0.001378 0.002337
4510 0.001377 0.002351
4520 0.001388 0.002360
4530 0.001397 0.002378
4540 0.001405 0.002385
4550 0.001417 0.002392
4560 0.001421 0.002407
4570 0.001436 0.002419
4580 0.001441 0.002432
4590 0.001452 0.002441
4600 0.001462 0.002465
4610 0.001471 0.002466
4620 0.001478 0.002479
4630 0.001491 0.002477
4640 0.001492 0.002484
4650 0.001502 0.002517
4660 0.001512 0.002509
4670 0.001522 0.002520
4680 0.001534 0.002538
4690 0.001541 0.002550
4700 0.001555 0.002559
4710 0.001564 0.002580
4720 0.001574 0.002573
4730 0.001579 0.002585
4740 0.001586 0.002594
4750 0.001597 0.002604
4760 0.001607 0.002615
4770 0.001612 0.002628
4780 0.001624 0.002637
4790 0.001632 0.002653
4800 0.001644 0.002662
4810 0.001652 0.002671
4820 0.001662 0.002684
4830 0.001678 0.002700
4840 0.001688 0.002701
4850 0.001699 0.002716
4860 0.001700 0.002731
4870 0.001710 0.002742
4880 0.001718 0.002756
4890 0.001749 0.002839
4900 0.001741 0.002794
4910 0.001789 0.002804
4920 0.001801 0.002807
4930 0.001806 0.002826
4940 0.001822 0.002839
4950 0.001828 0.002848
4960 0.001836 0.002860
4970 0.001850 0.002875
4980 0.001860 0.002893
4990 0.001875 0.002902
5000 0.001878 0.002908
5010 0.001888 0.002992
5020 0.001853 0.003840
5030 0.001846 0.003036
5040 0.001873 0.002999
5050 0.001869 0.003017
5060 0.001851 0.002959
5070 0.001902 0.002970
5080 0.001924 0.002979
5090 0.001931 0.003002
5100 0.001951 0.003025
5110 0.001907 0.003117
5120 0.001964 0.003085
5130 0.001979 0.003070
5140 0.001981 0.003076
5150 0.002003 0.003146
5160 0.002005 0.003070
5170 0.002017 0.003091
5180 0.002030 0.003096
5190 0.002035 0.003106
5200 0.002047 0.003118
5210 0.002059 0.003127
5220 0.002066 0.003143
5230 0.002082 0.003159
5240 0.002088 0.003168
5250 0.002099 0.003184
5260 0.002121 0.003207
5270 0.002127 0.003207
5280 0.002129 0.003224
5290 0.002139 0.003234
5300 0.002158 0.003246
5310 0.002159 0.003254
5320 0.002174 0.003263
5330 0.002186 0.003282
5340 0.002189 0.003289
5350 0.002204 0.003305
5360 0.002219 0.003317
5370 0.002226 0.003330
5380 0.002250 0.003342
5390 0.002251 0.003350
5400 0.002261 0.003372
5410 0.002269 0.003396
5420 0.002290 0.003390
5430 0.002294 0.003405
5440 0.002304 0.003414
5450 0.002318 0.003429
5460 0.002327 0.003437
5470 0.002342 0.003453
5480 0.002346 0.003466
5490 0.002356 0.003476
5500 0.002370 0.003496
5510 0.002380 0.003500
