N  Time  average_ob  max_ob  min_ob 
10 0.000000 22.000000 24 20 
20 0.000001 63.000000 67 58 
30 0.000002 111.000000 114 106 
40 0.000002 165.000000 171 159 
50 0.000002 220.000000 228 209 
60 0.000003 283.000000 287 281 
70 0.000003 345.000000 351 339 
80 0.000004 407.000000 417 403 
90 0.000004 477.000000 489 466 
100 0.000005 541.000000 553 527 
110 0.000006 609.000000 620 602 
120 0.000006 682.000000 693 670 
130 0.000007 750.000000 756 740 
140 0.000008 827.000000 838 816 
150 0.000008 902.000000 908 896 
160 0.000008 974.000000 980 966 
170 0.000009 1048.000000 1059 1034 
180 0.000010 1133.000000 1145 1124 
190 0.000010 1203.000000 1212 1187 
200 0.000010 1284.000000 1294 1278 
210 0.000011 1360.000000 1374 1340 
220 0.000012 1441.000000 1457 1431 
230 0.000013 1522.000000 1539 1511 
240 0.000013 1601.000000 1611 1590 
250 0.000014 1679.000000 1685 1671 
260 0.000014 1760.000000 1778 1739 
270 0.000015 1844.000000 1871 1828 
280 0.000016 1925.000000 1940 1905 
290 0.000017 2017.000000 2039 2006 
300 0.000017 2095.000000 2107 2082 
310 0.000018 2180.000000 2196 2162 
320 0.000018 2272.000000 2288 2248 
330 0.000023 2355.000000 2371 2348 
340 0.000022 2436.000000 2460 2414 
350 0.000023 2522.000000 2551 2502 
360 0.000024 2608.000000 2633 2591 
370 0.000025 2696.000000 2710 2680 
380 0.000019 2781.000000 2798 2768 
390 0.000020 2869.000000 2888 2852 
400 0.000021 2957.000000 2982 2943 
410 0.000022 3055.000000 3077 3020 
420 0.000022 3137.000000 3151 3125 
430 0.000022 3225.000000 3246 3195 
440 0.000022 3319.000000 3339 3300 
450 0.000023 3411.000000 3428 3393 
460 0.000023 3502.000000 3526 3483 
470 0.000026 3586.000000 3603 3570 
480 0.000026 3668.000000 3680 3648 
490 0.000027 3762.000000 3783 3740 
500 0.000027 3854.000000 3870 3842 
510 0.000031 3946.000000 3952 3938 
520 0.000032 4040.000000 4058 4025 
530 0.000032 4130.000000 4151 4108 
540 0.000034 4223.000000 4231 4211 
550 0.000035 4317.000000 4337 4295 
560 0.000035 4416.000000 4436 4403 
570 0.000037 4503.000000 4528 4488 
580 0.000036 4604.000000 4629 4577 
590 0.000033 4700.000000 4721 4674 
600 0.000029 4799.000000 4820 4781 
610 0.000028 4888.000000 4908 4865 
620 0.000029 4981.000000 5004 4941 
630 0.000029 5072.000000 5092 5054 
640 0.000028 5166.000000 5192 5147 
650 0.000028 5264.000000 5306 5218 
660 0.000029 5351.000000 5375 5329 
670 0.000029 5457.000000 5474 5439 
680 0.000028 5563.000000 5585 5541 
690 0.000032 5651.000000 5668 5637 
700 0.000030 5757.000000 5772 5726 
710 0.000208 5841.000000 5866 5825 
