N  Time  average_ob  max_ob  min_ob 
10 0.000001 11.000000 15 7 
20 0.000001 35.000000 46 20 
30 0.000001 64.000000 98 32 
40 0.000002 101.000000 168 69 
50 0.000004 130.000000 215 100 
60 0.000003 150.000000 210 118 
70 0.000003 203.000000 256 164 
80 0.000004 258.000000 422 183 
90 0.000008 273.000000 304 246 
100 0.000005 315.000000 397 234 
110 0.000006 364.000000 488 302 
120 0.000008 453.000000 626 352 
130 0.000007 434.000000 514 327 
140 0.000008 491.000000 623 347 
150 0.000009 574.000000 973 472 
160 0.000010 570.000000 643 465 
170 0.000010 680.000000 859 451 
180 0.000013 665.000000 892 531 
190 0.000012 771.000000 1102 646 
200 0.000010 819.000000 959 628 
210 0.000010 861.000000 1065 659 
220 0.000011 878.000000 1029 741 
230 0.000011 936.000000 1207 766 
240 0.000012 986.000000 1194 775 
250 0.000015 1024.000000 1129 825 
260 0.000013 996.000000 1138 779 
270 0.000016 1111.000000 1326 835 
280 0.000014 1138.000000 1513 900 
290 0.000014 1154.000000 1288 987 
300 0.000020 1300.000000 1429 1008 
310 0.000016 1269.000000 1525 1104 
320 0.000016 1341.000000 1566 1101 
330 0.000018 1497.000000 2078 1157 
340 0.000020 1566.000000 1838 1287 
350 0.000018 1538.000000 1871 1272 
360 0.000018 1594.000000 1867 1323 
370 0.000019 1631.000000 2071 1435 
380 0.000023 1686.000000 2427 1442 
390 0.000018 1921.000000 2279 1668 
400 0.000021 1825.000000 2069 1586 
410 0.000020 1870.000000 2233 1646 
420 0.000024 1994.000000 2630 1694 
430 0.000020 1901.000000 2385 1649 
440 0.000021 2062.000000 2500 1783 
450 0.000022 2237.000000 2664 1857 
460 0.000023 2280.000000 2735 2047 
470 0.000023 2080.000000 2461 1728 
480 0.000023 2363.000000 2740 1989 
490 0.000025 2323.000000 2646 1931 
500 0.000023 2441.000000 2752 2034 
510 0.000024 2429.000000 2685 2156 
520 0.000025 2525.000000 3571 2025 
530 0.000022 2564.000000 3199 1937 
540 0.000022 2480.000000 2872 1974 
550 0.000023 2602.000000 2999 2230 
560 0.000024 2809.000000 3343 2302 
570 0.000030 2800.000000 3390 2530 
580 0.000025 2794.000000 3158 2186 
590 0.000026 2779.000000 3224 2480 
600 0.000025 2938.000000 3211 2451 
