N  Time  average_ob  max_ob  min_ob 
10 0.000001 10.000000 18 5 
20 0.000001 42.000000 82 25 
30 0.000002 70.000000 101 44 
40 0.000002 96.000000 128 71 
50 0.000003 140.000000 214 82 
60 0.000003 150.000000 181 126 
70 0.000004 187.000000 261 132 
80 0.000004 237.000000 310 188 
90 0.000005 300.000000 351 196 
100 0.000006 346.000000 447 281 
110 0.000006 361.000000 473 265 
120 0.000007 408.000000 500 288 
130 0.000014 467.000000 545 331 
140 0.000009 482.000000 587 385 
150 0.000009 529.000000 733 425 
160 0.000010 631.000000 742 467 
170 0.000010 645.000000 796 493 
180 0.000011 735.000000 909 608 
190 0.000012 736.000000 936 565 
200 0.000015 795.000000 968 688 
210 0.000013 894.000000 1183 763 
220 0.000014 856.000000 1010 690 
230 0.000014 905.000000 1073 764 
240 0.000015 972.000000 1115 817 
250 0.000021 1106.000000 1601 813 
260 0.000014 1068.000000 1356 946 
270 0.000014 1197.000000 1652 1002 
280 0.000014 1181.000000 1348 951 
290 0.000015 1283.000000 1403 1076 
300 0.000018 1351.000000 1570 1177 
310 0.000016 1330.000000 1453 1181 
320 0.000017 1541.000000 2445 1188 
330 0.000018 1416.000000 1591 1201 
340 0.000021 1673.000000 2377 1367 
350 0.000016 1537.000000 1705 1361 
360 0.000032 1664.000000 2194 1335 
370 0.000017 1558.000000 1879 1333 
380 0.000022 1753.000000 2303 1305 
390 0.000018 1719.000000 1931 1462 
400 0.000018 1723.000000 1890 1449 
410 0.000067 1781.000000 2051 1515 
420 0.000031 1930.000000 2525 1460 
430 0.000021 2002.000000 2408 1630 
440 0.000022 2002.000000 2419 1729 
450 0.000022 2187.000000 2641 1740 
460 0.000023 2360.000000 3153 1969 
470 0.000024 2245.000000 2524 1921 
480 0.000023 2171.000000 2805 1826 
490 0.000024 2529.000000 3027 2221 
500 0.000025 2425.000000 3092 2138 
510 0.000025 2412.000000 2682 2198 
520 0.000025 2510.000000 2952 2001 
530 0.000026 2659.000000 3128 1922 
540 0.000023 2624.000000 3227 2237 
550 0.000026 2784.000000 3686 2349 
560 0.000025 2796.000000 4104 2148 
570 0.000028 2931.000000 3612 2630 
580 0.000032 2754.000000 3259 2159 
590 0.000031 2915.000000 3660 2469 
600 0.000029 3048.000000 3797 2407 
610 0.000030 3064.000000 3658 2510 
620 0.000032 3259.000000 4074 2692 
630 0.000028 3248.000000 3633 2670 
640 0.000028 3477.000000 4503 2764 
650 0.000024 3099.000000 3524 2571 
660 0.000026 3284.000000 3697 3029 
670 0.000026 3563.000000 4127 2958 
680 0.000027 3504.000000 4254 3116 
690 0.000027 3582.000000 4076 2970 
700 0.000027 3787.000000 4403 3402 
710 0.000028 3713.000000 4199 3270 
720 0.000028 3927.000000 4845 3544 
730 0.000030 3814.000000 4730 3217 
740 0.000029 3876.000000 4536 3233 
750 0.000029 3838.000000 4092 3295 
760 0.000060 4162.000000 4709 3793 
770 0.000070 3900.000000 5344 3314 
780 0.000061 3921.000000 4512 3234 
790 0.000055 4340.000000 5729 3656 
800 0.000076 4283.000000 5370 3615 
810 0.000056 4086.000000 4521 3630 
820 0.000057 4302.000000 4937 3643 
830 0.000052 4321.000000 5015 3642 
840 0.000052 4335.000000 5106 3810 
850 0.000051 4567.000000 5517 3639 
860 0.000053 4888.000000 5587 4109 
870 0.000077 5083.000000 5829 3816 
880 0.000055 4797.000000 6182 4172 
890 0.000055 4516.000000 5005 4107 
900 0.000056 4839.000000 5673 4367 
910 0.000055 4770.000000 5295 4083 
920 0.000057 4895.000000 5223 4418 
930 0.000053 4931.000000 5632 4550 
940 0.000049 4975.000000 6272 4305 
950 0.000051 5015.000000 5979 4555 
960 0.000050 5359.000000 6276 4784 
970 0.000052 5438.000000 6273 4673 
980 0.000051 5250.000000 5992 4408 
990 0.000053 5662.000000 6856 4735 
1000 0.000054 5512.000000 6262 5027 
1010 0.000053 5347.000000 6272 4854 
1020 0.000057 5553.000000 6073 4923 
1030 0.000058 5895.000000 8291 4630 
1040 0.000059 5673.000000 6162 5207 
1050 0.000057 6011.000000 7900 5211 
1060 0.000055 5669.000000 6555 5074 
1070 0.000056 6138.000000 7390 5371 
1080 0.000056 6190.000000 7467 5052 
1090 0.000053 5964.000000 7463 5133 
1100 0.000052 6177.000000 7002 5737 
1110 0.000055 6577.000000 7756 5420 
1120 0.000054 6373.000000 7242 5572 
1130 0.000054 6325.000000 7190 5664 
1140 0.000055 6059.000000 6691 5424 
1150 0.000055 6364.000000 6768 5479 
1160 0.000057 6859.000000 7675 5919 
1170 0.000057 6689.000000 7977 5602 
1180 0.000056 6816.000000 7864 5926 
