N  Time  average_ob  max_ob  min_ob 
10 0.000001 36.000000 39 34 
20 0.000001 89.000000 94 85 
30 0.000001 155.000000 168 146 
40 0.000002 221.000000 232 214 
50 0.000002 302.000000 327 289 
60 0.000003 378.000000 397 364 
70 0.000003 457.000000 508 435 
80 0.000004 552.000000 684 521 
90 0.000004 623.000000 654 590 
100 0.000005 706.000000 759 674 
110 0.000005 798.000000 889 764 
120 0.000006 918.000000 993 858 
130 0.000006 982.000000 1028 944 
140 0.000007 1067.000000 1159 1034 
150 0.000009 1160.000000 1204 1119 
160 0.000010 1284.000000 1399 1227 
170 0.000008 1375.000000 1491 1294 
180 0.000008 1486.000000 1631 1407 
190 0.000008 1554.000000 1668 1475 
200 0.000009 1670.000000 1768 1592 
210 0.000009 1767.000000 1927 1663 
220 0.000010 1878.000000 2031 1824 
230 0.000014 1976.000000 2107 1913 
240 0.000011 2059.000000 2233 1955 
250 0.000011 2193.000000 2282 2144 
260 0.000012 2280.000000 2377 2122 
270 0.000012 2360.000000 2530 2264 
280 0.000013 2534.000000 2705 2386 
290 0.000016 2628.000000 2911 2442 
300 0.000014 2760.000000 3102 2617 
310 0.000015 2835.000000 3017 2721 
320 0.000015 2879.000000 2994 2770 
330 0.000016 3024.000000 3182 2847 
340 0.000019 3099.000000 3336 2965 
350 0.000017 3261.000000 3382 3107 
360 0.000017 3360.000000 3576 3173 
370 0.000018 3528.000000 3723 3370 
380 0.000018 3563.000000 3811 3415 
390 0.000018 3741.000000 3977 3563 
400 0.000021 3765.000000 3966 3636 
410 0.000017 4000.000000 4199 3804 
420 0.000018 4050.000000 4180 3929 
430 0.000020 4081.000000 4219 3936 
440 0.000018 4313.000000 4676 4084 
450 0.000019 4358.000000 4485 4232 
460 0.000020 4450.000000 4707 4258 
470 0.000022 4563.000000 4682 4417 
480 0.000021 4706.000000 5062 4510 
490 0.000021 4754.000000 4912 4625 
500 0.000022 4894.000000 5218 4659 
510 0.000029 5005.000000 5297 4817 
520 0.000023 5154.000000 5527 4931 
530 0.000023 5349.000000 5625 5143 
540 0.000023 5328.000000 5866 5195 
550 0.000021 5526.000000 5798 5389 
560 0.000022 5688.000000 5934 5394 
570 0.000021 5723.000000 6141 5531 
580 0.000022 5883.000000 6210 5587 
590 0.000024 5861.000000 6201 5664 
600 0.000024 6042.000000 6550 5811 
610 0.000026 6186.000000 6392 5970 
620 0.000024 6338.000000 6482 5992 
