N  Time  average_ob  max_ob  min_ob 
1000 0.0000000520 9.2270000000 10 5 
1100 0.0000000500 9.4172727273 11 6 
1200 0.0000000508 9.4833333333 11 5 
1300 0.0000000415 9.6192307692 11 6 
1400 0.0000000586 9.6514285714 11 5 
1500 0.0000000393 9.6953333333 11 6 
1600 0.0000000344 10.1425000000 11 5 
1700 0.0000000365 10.1417647059 11 6 
1800 0.0000000356 10.2055555556 11 3 
1900 0.0000000374 10.2000000000 11 6 
2000 0.0000000370 10.2345000000 11 6 
2100 0.0000000362 10.4357142857 12 5 
2200 0.0000000305 10.4463636364 12 6 
2300 0.0000000365 10.4782608696 12 6 
2400 0.0000000312 10.4787500000 12 6 
2500 0.0000000284 10.5116000000 12 5 
2600 0.0000000388 10.6400000000 12 7 
2700 0.0000000281 10.6251851852 12 6 
2800 0.0000000882 10.6467857143 12 6 
2900 0.0000000486 10.6548275862 12 4 
3000 0.0000000453 10.7033333333 12 6 
3100 0.0000000403 11.0848387097 12 6 
3200 0.0000000400 11.1287500000 12 6 
3300 0.0000000512 11.1384848485 12 7 
3400 0.0000000341 11.1200000000 12 4 
3500 0.0000000360 11.1277142857 12 5 
3600 0.0000000439 11.2163888889 12 6 
3700 0.0000000351 11.2200000000 12 7 
3800 0.0000000324 11.2089473684 12 6 
3900 0.0000000308 11.2441025641 12 6 
4000 0.0000000325 11.2330000000 12 7 
4100 0.0000000317 11.4504878049 12 5 
4200 0.0000000286 11.4438095238 12 7 
4300 0.0000000277 11.4527906977 13 6 
4400 0.0000000255 11.4590909091 13 6 
4500 0.0000000251 11.4604444444 13 6 
4600 0.0000000270 11.4602173913 13 5 
4700 0.0000000243 11.4914893617 13 4 
4800 0.0000000240 11.4841666667 13 6 
4900 0.0000000229 11.4977551020 13 6 
5000 0.0000000226 11.4890000000 13 7 
5100 0.0000000214 11.5200000000 13 6 
5200 0.0000000217 11.6298076923 13 5 
5300 0.0000000208 11.6320754717 13 7 
5400 0.0000000198 11.6292592593 13 6 
5500 0.0000000198 11.6340000000 13 5 
5600 0.0000000191 11.6401785714 13 7 
5700 0.0000000191 11.6680701754 13 5 
5800 0.0000000190 11.6998275862 13 7 
5900 0.0000000185 11.6891525424 13 5 
6000 0.0000000192 11.6853333333 13 5 
6100 0.0000000184 11.6649180328 13 3 
6200 0.0000000174 12.1156451613 13 6 
6300 0.0000000171 12.1233333333 13 6 
6400 0.0000000170 12.1289062500 13 7 
6500 0.0000000172 12.0998461538 13 5 
6600 0.0000000173 12.1274242424 13 8 
6700 0.0000000172 12.1156716418 13 7 
6800 0.0000000172 12.1448529412 13 6 
6900 0.0000000172 12.1260869565 13 6 
7000 0.0000000173 12.1378571429 13 7 
7100 0.0000000173 12.1443661972 13 6 
7200 0.0000000194 12.1840277778 13 7 
7300 0.0000000173 12.1939726027 13 7 
7400 0.0000000193 12.1977027027 13 5 
7500 0.0000000173 12.2186666667 13 5 
7600 0.0000000172 12.2057894737 13 5 
7700 0.0000000184 12.2071428571 13 7 
7800 0.0000000174 12.2382051282 13 8 
7900 0.0000000190 12.2118987342 13 6 
8000 0.0000000173 12.2426250000 13 7 
8100 0.0000000191 12.2372839506 13 7 
8200 0.0000000176 12.4306097561 13 7 
8300 0.0000000181 12.4340963855 14 5 
8400 0.0000000174 12.4261904762 14 5 
8500 0.0000000187 12.4288235294 14 6 
8600 0.0000000174 12.4416279070 14 7 
8700 0.0000000175 12.4373563218 14 7 
8800 0.0000000178 12.4430681818 14 6 
8900 0.0000000173 12.4496629213 14 5 
9000 0.0000000173 12.4494444444 14 6 
9100 0.0000000174 12.4564835165 14 6 
9200 0.0000000173 12.4410869565 14 8 
9300 0.0000000174 12.4865591398 14 5 
9400 0.0000000183 12.4847872340 14 7 
9500 0.0000000186 12.4913684211 14 6 
9600 0.0000000177 12.4817708333 14 6 
9700 0.0000000175 12.4907216495 14 4 
9800 0.0000000180 12.4814285714 14 6 
9900 0.0000000184 12.4966666667 14 7 
10000 0.0000000184 12.5095000000 14 7 
