N  Time  average_ob  max_ob  min_ob 
1000 0.0000000750 8.9870000000 10 1 
1001 0.0000000579 8.9880119880 10 1 
1002 0.0000000589 8.9890219561 10 1 
1003 0.0000000518 8.9900299103 10 1 
1004 0.0000000508 8.9910358566 10 1 
1005 0.0000000468 8.9920398010 10 1 
1006 0.0000000457 8.9930417495 10 1 
1007 0.0000000626 8.9940417080 10 1 
1008 0.0000000377 8.9950396825 10 1 
1009 0.0000000367 8.9960356789 10 1 
1010 0.0000000376 8.9970297030 10 1 
1011 0.0000000366 8.9980217606 10 1 
1012 0.0000000375 8.9990118577 10 1 
1013 0.0000000365 9.0000000000 10 1 
1014 0.0000000375 9.0009861933 10 1 
1015 0.0000000384 9.0019704433 10 1 
1016 0.0000000364 9.0029527559 10 1 
1017 0.0000000374 9.0039331367 10 1 
1018 0.0000000363 9.0049115914 10 1 
1019 0.0000000363 9.0058881256 10 1 
1020 0.0000000363 9.0068627451 10 1 
1021 0.0000000539 9.0078354554 10 1 
1022 0.0000000323 9.0088062622 10 1 
1023 0.0000000313 9.0097751711 10 1 
1024 0.0000000400 9.0117187500 11 1 
1025 0.0000000439 9.0136585366 11 1 
1026 0.0000000419 9.0155945419 11 1 
1027 0.0000000419 9.0175267770 11 1 
1028 0.0000000409 9.0194552529 11 1 
1029 0.0000000360 9.0213799806 11 1 
1030 0.0000000350 9.0233009709 11 1 
1031 0.0000000349 9.0252182347 11 1 
1032 0.0000000339 9.0271317829 11 1 
1033 0.0000000339 9.0290416263 11 1 
1034 0.0000000338 9.0309477756 11 1 
1035 0.0000000329 9.0328502415 11 1 
1036 0.0000000299 9.0347490347 11 1 
1037 0.0000000299 9.0366441659 11 1 
1038 0.0000000299 9.0385356455 11 1 
1039 0.0000000298 9.0404234841 11 1 
1040 0.0000000298 9.0423076923 11 1 
1041 0.0000000307 9.0441882805 11 1 
1042 0.0000000403 9.0460652591 11 1 
1043 0.0000000412 9.0479386385 11 1 
1044 0.0000000374 9.0498084291 11 1 
1045 0.0000000775 9.0516746411 11 1 
1046 0.0000000402 9.0535372849 11 1 
1047 0.0000000411 9.0553963706 11 1 
1048 0.0000000382 9.0572519084 11 1 
1049 0.0000000362 9.0591039085 11 1 
1050 0.0000000343 9.0609523810 11 1 
1051 0.0000000485 9.0627973359 11 1 
1052 0.0000000732 9.0646387833 11 1 
1053 0.0000000532 9.0664767331 11 1 
1054 0.0000000436 9.0683111954 11 1 
1055 0.0000000398 9.0701421801 11 1 
1056 0.0000000369 9.0719696970 11 1 
1057 0.0000000341 9.0737937559 11 1 
1058 0.0000000388 9.0756143667 11 1 
1059 0.0000000340 9.0774315392 11 1 
1060 0.0000000321 9.0792452830 11 1 
1061 0.0000000311 9.0810556079 11 1 
1062 0.0000000282 9.0828625235 11 1 
1063 0.0000000273 9.0846660395 11 1 
1064 0.0000000273 9.0864661654 11 1 
1065 0.0000000207 9.0882629108 11 1 
1066 0.0000000197 9.0900562852 11 1 
1067 0.0000000206 9.0918462980 11 1 
1068 0.0000000206 9.0936329588 11 1 
1069 0.0000000206 9.0954162769 11 1 
1070 0.0000000411 9.0971962617 11 1 
1071 0.0000000196 9.0989729225 11 1 
1072 0.0000000196 9.1007462687 11 1 
1073 0.0000000196 9.1025163094 11 1 
1074 0.0000000214 9.1042830540 11 1 
1075 0.0000000195 9.1060465116 11 1 
1076 0.0000000195 9.1078066914 11 1 
1077 0.0000000195 9.1095636026 11 1 
1078 0.0000000195 9.1113172542 11 1 
1079 0.0000000204 9.1130676552 11 1 
1080 0.0000000194 9.1148148148 11 1 
1081 0.0000000194 9.1165587419 11 1 
1082 0.0000000222 9.1182994455 11 1 
1083 0.0000000203 9.1200369344 11 1 
1084 0.0000000203 9.1217712177 11 1 
1085 0.0000000194 9.1235023041 11 1 
1086 0.0000000193 9.1252302026 11 1 
1087 0.0000000193 9.1269549218 11 1 
1088 0.0000000202 9.1286764706 11 1 
1089 0.0000000211 9.1303948577 11 1 
1090 0.0000000193 9.1321100917 11 1 
1091 0.0000000192 9.1338221815 11 1 
1092 0.0000000293 9.1355311355 11 1 
1093 0.0000000192 9.1372369625 11 1 
1094 0.0000000192 9.1389396709 11 1 
1095 0.0000000219 9.1406392694 11 1 
1096 0.0000000201 9.1423357664 11 1 
1097 0.0000000201 9.1440291705 11 1 
1098 0.0000000200 9.1457194900 11 1 
1099 0.0000000191 9.1474067334 11 1 
1100 0.0000000200 9.1490909091 11 1 
1101 0.0000000490 9.1507720254 11 1 
1102 0.0000000499 9.1524500907 11 1 
1103 0.0000000408 9.1541251133 11 1 
1104 0.0000000344 9.1557971014 11 1 
1105 0.0000000308 9.1574660633 11 1 
1106 0.0000000298 9.1591320072 11 1 
1107 0.0000000262 9.1607949413 11 1 
1108 0.0000000334 9.1624548736 11 1 
1109 0.0000000225 9.1641118124 11 1 
1110 0.0000000261 9.1657657658 11 1 
1111 0.0000000189 9.1674167417 11 1 
1112 0.0000000180 9.1690647482 11 1 
1113 0.0000000171 9.1707097934 11 1 
1114 0.0000000171 9.1723518851 11 1 
1115 0.0000000170 9.1739910314 11 1 
1116 0.0000000161 9.1756272401 11 1 
1117 0.0000000170 9.1772605192 11 1 
1118 0.0000000179 9.1788908766 11 1 
1119 0.0000000161 9.1805183199 11 1 
1120 0.0000000161 9.1821428571 11 1 
1121 0.0000000161 9.1837644960 11 1 
1122 0.0000000160 9.1853832442 11 1 
1123 0.0000000160 9.1869991095 11 1 
1124 0.0000000169 9.1886120996 11 1 
1125 0.0000000160 9.1902222222 11 1 
