N  Time  average_ob  max_ob  min_ob 
1000 0.0000000599 44.9192400000 998 1 
1100 0.0000000667 57.7846181818 1100 1 
1200 0.0000000858 59.7982250000 1200 1 
1300 0.0000000836 73.5913230769 1295 1 
1400 0.0000000732 84.0442071429 1400 1 
1500 0.0000000561 70.8800000000 1498 1 
1600 0.0000000569 84.6378750000 1598 1 
1700 0.0000000591 101.2471352941 1699 1 
1800 0.0000000554 108.7966388889 1799 1 
1900 0.0000000577 117.0562105263 1899 1 
2000 0.0000000581 117.8016350000 1997 1 
2100 0.0000000665 136.5154333333 2098 1 
2200 0.0000000636 129.7801409091 2200 1 
2300 0.0000000650 132.2021391304 2294 1 
2400 0.0000000520 103.6700041667 2397 1 
2500 0.0000000670 137.4373680000 2500 1 
2600 0.0000000634 129.5013615385 2596 1 
2700 0.0000000663 135.7273888889 2698 1 
2800 0.0000000693 142.4163392857 2800 1 
2900 0.0000000699 143.8688551724 2900 1 
3000 0.0000000736 151.7024100000 3000 1 
3100 0.0000000886 185.3085806452 3096 1 
3200 0.0000000856 178.5070875000 3197 1 
3300 0.0000000872 181.9821848485 3299 1 
3400 0.0000000799 165.4524705882 3399 1 
3500 0.0000000868 180.0743085714 3500 1 
3600 0.0000000914 191.7055361111 3591 1 
3700 0.0000000939 196.4623216216 3700 1 
3800 0.0000000952 200.1437131579 3798 1 
3900 0.0000000887 185.4331282051 3895 1 
4000 0.0000001187 252.1828650000 3998 1 
4100 0.0000000996 209.2797853659 4100 1 
4200 0.0000001179 249.9704357143 4193 1 
4300 0.0000001043 219.8877069767 4298 1 
4400 0.0000000938 196.6121431818 4390 1 
4500 0.0000001113 235.2164822222 4489 1 
4600 0.0000001104 233.4099521739 4600 1 
4700 0.0000001375 293.6565851064 4698 1 
4800 0.0000001185 250.7059687500 4799 1 
4900 0.0000001274 270.9037265306 4898 1 
5000 0.0000001595 341.9092360000 4985 1 
5100 0.0000001203 255.2511607843 5099 1 
5200 0.0000001503 321.8594519231 5199 1 
5300 0.0000001541 330.0389981132 5296 1 
5400 0.0000001271 270.5212500000 5398 1 
5500 0.0000001569 335.7548272727 5496 1 
5600 0.0000001357 289.2825142857 5596 1 
5700 0.0000001405 299.7251368421 5698 1 
5800 0.0000001411 300.8033396552 5800 1 
5900 0.0000001514 324.1002338983 5889 1 
6000 0.0000001726 370.3840100000 5998 1 
6100 0.0000001430 305.5242967213 6088 1 
6200 0.0000001565 335.3109258065 6199 1 
6300 0.0000001497 317.6723380952 6298 1 
6400 0.0000001598 342.1480312500 6393 1 
6500 0.0000001228 259.7941276923 6500 1 
6600 0.0000001352 287.1313348485 6600 1 
6700 0.0000001452 309.7407522388 6696 1 
6800 0.0000001371 291.6632102941 6799 1 
6900 0.0000001705 365.9623608696 6898 1 
7000 0.0000002011 433.6607557143 6998 1 
7100 0.0000001837 395.2086591549 7097 1 
7200 0.0000001801 387.3860027778 7199 1 
7300 0.0000002067 445.9901452055 7279 1 
7400 0.0000001577 337.5362337838 7398 1 
7500 0.0000001728 371.0832973333 7500 1 
7600 0.0000001593 341.4505460526 7597 1 
7700 0.0000002265 489.8393623377 7698 1 
7800 0.0000001923 414.3623461538 7787 1 
7900 0.0000001915 412.5645848101 7900 1 
8000 0.0000002365 511.1853762500 7996 1 
8100 0.0000001936 416.9084271605 8093 1 
8200 0.0000002044 441.1933634146 8198 1 
8300 0.0000002324 503.1352602410 8280 1 
8400 0.0000001973 425.2894511905 8398 1 
8500 0.0000001870 402.3129129412 8498 1 
8600 0.0000001886 405.4659383721 8598 1 
8700 0.0000002065 445.8288735632 8698 1 
8800 0.0000001962 422.8357795455 8797 1 
8900 0.0000002090 449.9162438202 8900 1 
9000 0.0000002244 485.5335966667 9000 1 
9100 0.0000002590 561.3492395604 9098 1 
9200 0.0000002473 535.5687597826 9199 1 
9300 0.0000002182 470.6270215054 9294 1 
9400 0.0000002375 490.8241148936 9395 1 
9500 0.0000002193 468.3944989474 9498 1 
9600 0.0000002164 458.9995093750 9597 1 
9700 0.0000002417 498.9357886598 9697 1 
9800 0.0000002564 555.2905734694 9792 1 
9900 0.0000002738 593.4696848485 9899 1 
10000 0.0000002637 571.7623230000 9999 1 
