N  Time  average_ob  max_ob  min_ob 
1000 0.0000003216 48.9173400000 1000 1 
1100 0.0000003343 53.4014909091 1099 1 
1200 0.0000003394 54.5164750000 1197 1 
1300 0.0000003554 57.5151538462 1300 1 
1400 0.0000004727 86.3916642857 1399 1 
1500 0.0000004236 74.6394733333 1498 1 
1600 0.0000005185 97.6257937500 1600 1 
1700 0.0000005082 96.2999235294 1698 1 
1800 0.0000004664 86.4022111111 1798 1 
1900 0.0000004925 93.3487421053 1897 1 
2000 0.0000004658 86.4560550000 1998 1 
2100 0.0000006033 121.5708380952 2098 1 
2200 0.0000005751 114.0777454545 2199 1 
2300 0.0000006368 129.5410478261 2300 1 
2400 0.0000006638 137.0620500000 2397 1 
2500 0.0000006249 127.2678480000 2499 1 
2600 0.0000006695 138.6173076923 2598 1 
2700 0.0000007188 151.7715555556 2699 1 
2800 0.0000006658 137.1803714286 2794 1 
2900 0.0000007470 158.8247379310 2899 1 
3000 0.0000007394 156.9738866667 2996 1 
3100 0.0000007589 161.8493709677 3099 1 
3200 0.0000007425 157.6506343750 3200 1 
3300 0.0000007457 158.9383090909 3299 1 
3400 0.0000008104 175.8293500000 3394 1 
3500 0.0000009071 200.2994057143 3498 1 
3600 0.0000009282 205.9063861111 3600 1 
3700 0.0000008458 184.7366675676 3700 1 
3800 0.0000009756 218.6488789474 3794 1 
3900 0.0000010608 241.0511769231 3896 1 
4000 0.0000009549 212.3660800000 3997 1 
4100 0.0000009465 194.7876658537 4098 1 
4200 0.0000011730 257.1310404762 4200 1 
4300 0.0000010930 241.0863744186 4293 1 
4400 0.0000010581 232.7212090909 4394 1 
4500 0.0000010375 231.3110288889 4499 1 
4600 0.0000010264 232.8229760870 4599 1 
4700 0.0000010977 251.2973191489 4700 1 
4800 0.0000012582 293.3423333333 4799 1 
4900 0.0000011488 264.6278591837 4900 1 
5000 0.0000011368 261.0204020000 4987 1 
5100 0.0000012286 285.5624137255 5096 1 
5200 0.0000009855 222.0824173077 5198 1 
5300 0.0000010106 226.1923735849 5294 1 
5400 0.0000011208 256.9687740741 5399 1 
5500 0.0000012431 289.4821636364 5499 1 
5600 0.0000013530 316.9498678571 5598 1 
5700 0.0000013814 321.5251666667 5694 1 
5800 0.0000014633 346.7267844828 5798 1 
5900 0.0000015702 373.9080355932 5900 1 
6000 0.0000014484 342.2959750000 5998 1 
6100 0.0000014862 352.8300524590 6095 1 
6200 0.0000011860 274.8767580645 6182 1 
6300 0.0000012048 279.7363063492 6296 1 
6400 0.0000013765 324.2133609375 6397 1 
6500 0.0000014558 345.0692446154 6499 1 
6600 0.0000014589 346.0992651515 6599 1 
6700 0.0000014532 344.1122611940 6699 1 
6800 0.0000013604 320.0906470588 6800 1 
6900 0.0000016811 398.6084304348 6897 1 
7000 0.0000014998 356.6043000000 6998 1 
7100 0.0000014394 341.3192690141 7095 1 
7200 0.0000016055 384.0472513889 7197 1 
7300 0.0000015479 369.6963301370 7300 1 
7400 0.0000012926 302.4491635135 7392 1 
7500 0.0000016785 400.8578586667 7498 1 
7600 0.0000018061 409.1369973684 7598 1 
7700 0.0000015817 354.2744857143 7697 1 
7800 0.0000018653 409.9202807692 7799 1 
7900 0.0000019729 435.4063265823 7886 1 
8000 0.0000020193 446.5671400000 7995 1 
8100 0.0000014565 333.6477283951 8078 1 
8200 0.0000017728 412.4760414634 8198 1 
8300 0.0000019956 468.1542807229 8300 1 
8400 0.0000017205 399.6446309524 8387 1 
8500 0.0000019569 458.4385588235 8483 1 
8600 0.0000021271 500.6386965116 8599 1 
8700 0.0000023339 552.5080218391 8697 1 
8800 0.0000020913 492.2366579545 8800 1 
8900 0.0000021346 503.0283258427 8891 1 
9000 0.0000019449 455.7670577778 8999 1 
9100 0.0000018134 422.9804395604 9093 1 
9200 0.0000019216 449.8655293478 9198 1 
9300 0.0000020268 473.2396784946 9281 1 
9400 0.0000027363 644.8620340426 9392 1 
9500 0.0000024232 538.3833515789 9499 1 
9600 0.0000023243 533.8285270833 9598 1 
9700 0.0000019329 452.8047195876 9698 1 
9800 0.0000019391 454.2418928571 9788 1 
9900 0.0000024107 572.0088666667 9886 1 
10000 0.0000017376 403.9275380000 10000 1 
