N  Time  average_ob  max_ob  min_ob 
1000 0.0000007890 500.5000000000 1000 1 
1001 0.0000007852 501.0000000000 1001 1 
1002 0.0000005070 501.5000000000 1002 1 
1003 0.0000004965 502.0000000000 1003 1 
1004 0.0000004283 502.5000000000 1004 1 
1005 0.0000004408 503.0000000000 1005 1 
1006 0.0000003628 503.5000000000 1006 1 
1007 0.0000003764 504.0000000000 1007 1 
1008 0.0000003591 504.5000000000 1008 1 
1009 0.0000003370 505.0000000000 1009 1 
1010 0.0000003416 505.5000000000 1010 1 
1011 0.0000003155 506.0000000000 1011 1 
1012 0.0000003152 506.5000000000 1012 1 
1013 0.0000003396 507.0000000000 1013 1 
1014 0.0000003126 507.5000000000 1014 1 
1015 0.0000003163 508.0000000000 1015 1 
1016 0.0000003317 508.5000000000 1016 1 
1017 0.0000003097 509.0000000000 1017 1 
1018 0.0000003114 509.5000000000 1018 1 
1019 0.0000003121 510.0000000000 1019 1 
1020 0.0000003147 510.5000000000 1020 1 
1021 0.0000003438 511.0000000000 1021 1 
1022 0.0000003219 511.5000000000 1022 1 
1023 0.0000003128 512.0000000000 1023 1 
1024 0.0000003223 512.5000000000 1024 1 
1025 0.0000003122 513.0000000000 1025 1 
1026 0.0000003002 513.5000000000 1026 1 
1027 0.0000002843 514.0000000000 1027 1 
1028 0.0000002977 514.5000000000 1028 1 
1029 0.0000003168 515.0000000000 1029 1 
1030 0.0000003505 515.5000000000 1030 1 
1031 0.0000006615 516.0000000000 1031 1 
1032 0.0000003682 516.5000000000 1032 1 
1033 0.0000002904 517.0000000000 1033 1 
1034 0.0000003162 517.5000000000 1034 1 
1035 0.0000003604 518.0000000000 1035 1 
1036 0.0000003108 518.5000000000 1036 1 
1037 0.0000002845 519.0000000000 1037 1 
1038 0.0000002736 519.5000000000 1038 1 
1039 0.0000002724 520.0000000000 1039 1 
1040 0.0000002490 520.5000000000 1040 1 
1041 0.0000002574 521.0000000000 1041 1 
1042 0.0000002457 521.5000000000 1042 1 
1043 0.0000002483 522.0000000000 1043 1 
1044 0.0000007375 522.5000000000 1044 1 
1045 0.0000005579 523.0000000000 1045 1 
1046 0.0000002476 523.5000000000 1046 1 
1047 0.0000003591 524.0000000000 1047 1 
1048 0.0000004323 524.5000000000 1048 1 
1049 0.0000003889 525.0000000000 1049 1 
1050 0.0000004171 525.5000000000 1050 1 
1051 0.0000003892 526.0000000000 1051 1 
1052 0.0000003802 526.5000000000 1052 1 
1053 0.0000003913 527.0000000000 1053 1 
1054 0.0000003767 527.5000000000 1054 1 
1055 0.0000004028 528.0000000000 1055 1 
1056 0.0000003570 528.5000000000 1056 1 
1057 0.0000003765 529.0000000000 1057 1 
1058 0.0000003195 529.5000000000 1058 1 
1059 0.0000003182 530.0000000000 1059 1 
1060 0.0000003274 530.5000000000 1060 1 
1061 0.0000003346 531.0000000000 1061 1 
1062 0.0000003183 531.5000000000 1062 1 
1063 0.0000003321 532.0000000000 1063 1 
1064 0.0000003336 532.5000000000 1064 1 
1065 0.0000005089 533.0000000000 1065 1 
1066 0.0000003311 533.5000000000 1066 1 
1067 0.0000003196 534.0000000000 1067 1 
1068 0.0000003324 534.5000000000 1068 1 
1069 0.0000003199 535.0000000000 1069 1 
1070 0.0000003336 535.5000000000 1070 1 
1071 0.0000003511 536.0000000000 1071 1 
1072 0.0000003200 536.5000000000 1072 1 
1073 0.0000003336 537.0000000000 1073 1 
1074 0.0000003203 537.5000000000 1074 1 
1075 0.0000003209 538.0000000000 1075 1 
1076 0.0000003309 538.5000000000 1076 1 
1077 0.0000003110 539.0000000000 1077 1 
1078 0.0000003970 539.5000000000 1078 1 
1079 0.0000003318 540.0000000000 1079 1 
1080 0.0000002787 540.5000000000 1080 1 
1081 0.0000002868 541.0000000000 1081 1 
1082 0.0000003004 541.5000000000 1082 1 
1083 0.0000002789 542.0000000000 1083 1 
1084 0.0000002952 542.5000000000 1084 1 
1085 0.0000003032 543.0000000000 1085 1 
1086 0.0000002965 543.5000000000 1086 1 
1087 0.0000002843 544.0000000000 1087 1 
1088 0.0000002886 544.5000000000 1088 1 
1089 0.0000002810 545.0000000000 1089 1 
1090 0.0000002807 545.5000000000 1090 1 
1091 0.0000002887 546.0000000000 1091 1 
1092 0.0000002811 546.5000000000 1092 1 
1093 0.0000002809 547.0000000000 1093 1 
1094 0.0000002888 547.5000000000 1094 1 
1095 0.0000002822 548.0000000000 1095 1 
1096 0.0000002819 548.5000000000 1096 1 
1097 0.0000002899 549.0000000000 1097 1 
1098 0.0000002823 549.5000000000 1098 1 
1099 0.0000002830 550.0000000000 1099 1 
1100 0.0000003036 550.5000000000 1100 1 
1101 0.0000002743 551.0000000000 1101 1 
1102 0.0000002523 551.5000000000 1102 1 
1103 0.0000002684 552.0000000000 1103 1 
1104 0.0000002518 552.5000000000 1104 1 
1105 0.0000002525 553.0000000000 1105 1 
1106 0.0000002523 553.5000000000 1106 1 
1107 0.0000002593 554.0000000000 1107 1 
1108 0.0000002653 554.5000000000 1108 1 
1109 0.0000002534 555.0000000000 1109 1 
1110 0.0000002604 555.5000000000 1110 1 
1111 0.0000002529 556.0000000000 1111 1 
1112 0.0000002536 556.5000000000 1112 1 
1113 0.0000002543 557.0000000000 1113 1 
1114 0.0000002558 557.5000000000 1114 1 
1115 0.0000004350 558.0000000000 1115 1 
1116 0.0000002661 558.5000000000 1116 1 
1117 0.0000002668 559.0000000000 1117 1 
1118 0.0000002558 559.5000000000 1118 1 
1119 0.0000002788 560.0000000000 1119 1 
1120 0.0000002571 560.5000000000 1120 1 
1121 0.0000002302 561.0000000000 1121 1 
1122 0.0000002299 561.5000000000 1122 1 
1123 0.0000002573 562.0000000000 1123 1 
1124 0.0000002633 562.5000000000 1124 1 
1125 0.0000002560 563.0000000000 1125 1 
1126 0.0000002638 563.5000000000 1126 1 
1127 0.0000002449 564.0000000000 1127 1 
1128 0.0000002314 564.5000000000 1128 1 
1129 0.0000002312 565.0000000000 1129 1 
1130 0.0000002381 565.5000000000 1130 1 
1131 0.0000002325 566.0000000000 1131 1 
1132 0.0000002323 566.5000000000 1132 1 
1133 0.0000002374 567.0000000000 1133 1 
1134 0.0000002416 567.5000000000 1134 1 
1135 0.0000002326 568.0000000000 1135 1 
1136 0.0000002333 568.5000000000 1136 1 
1137 0.0000002419 569.0000000000 1137 1 
1138 0.0000002337 569.5000000000 1138 1 
1139 0.0000002493 570.0000000000 1139 1 
1140 0.0000002333 570.5000000000 1140 1 
1141 0.0000002340 571.0000000000 1141 1 
1142 0.0000002137 571.5000000000 1142 1 
1143 0.0000002143 572.0000000000 1143 1 
1144 0.0000002185 572.5000000000 1144 1 
1145 0.0000002131 573.0000000000 1145 1 
1146 0.0000002138 573.5000000000 1146 1 
1147 0.0000002145 574.0000000000 1147 1 
1148 0.0000002204 574.5000000000 1148 1 
1149 0.0000002141 575.0000000000 1149 1 
